Id	Acts	Scenes	Figures
tg:kd4c.0	-1	-1	-1
tg:kd4g.0	-1	-1	-1
tg:kd4r.0	-1	-1	-1
tg:kd4v.0	-1	-1	-1
tg:kd4z.0	-1	-1	-1
tg:kd58.0	-1	-1	-1
tg:kjfc.0	-1	-1	-1
tg:kjfg.0	-1	-1	-1
tg:kjfz.0	-1	-1	-1
tg:kjg2.0	-1	-1	-1
tg:kjgc.0	-1	-1	-1
tg:kjgj.0	-1	-1	-1
tg:kjgv.0	-1	-1	-1
tg:kmdh.0	-1	-1	-1
tg:kmdk.0	-1	-1	-1
tg:kmdp.0	-1	-1	-1
tg:kmdt.0	-1	-1	-1
tg:kmdw.0	-1	-1	-1
tg:kmf6.0	-1	-1	-1
tg:kmf9.0	-1	-1	-1
tg:kmff.0	-1	-1	-1
tg:kmfh.0	-1	-1	-1
tg:kmpd.0	-1	-1	-1
tg:kmq3.0	-1	-1	-1
tg:kmqb.0	-1	-1	-1
tg:knb2.0	-1	-1	-1
tg:kp19.0	-1	-1	-1
tg:kpkv.0	3	27	-1
tg:kpsk.0	-1	-1	-1
tg:kpsp.0	-1	-1	-1
tg:kpsz.0	-1	-1	-1
tg:kq01.0	-1	-1	-1
tg:kq0s.0	-1	-1	-1
tg:kq0w.0	-1	-1	-1
tg:kq1k.0	-1	-1	-1
tg:kq6g.0	-1	-1	-1
tg:kq6k.0	-1	-1	-1
tg:kq6v.0	-1	-1	-1
tg:kqwr.0	-1	-1	-1
tg:krdh.0	-1	-1	-1
tg:krf8.0	3	22	9
tg:krfj.0	-1	-1	-1
tg:ksbx.0	-1	-1	-1
tg:kscn.0	-1	-1	-1
tg:kscv.0	-1	-1	-1
tg:ksd1.0	-1	-1	-1
tg:kssc.0	-1	-1	-1
tg:ktrh.0	-1	-1	-1
tg:ktrm.0	-1	-1	-1
tg:ktsm.0	-1	-1	-1
tg:ktsx.0	-1	-1	-1
tg:ktt1.0	-1	-1	-1
tg:kv4f.0	-1	-1	-1
tg:kw8v.0	-1	-1	-1
tg:kw94.0	-1	-1	-1
tg:kw97.0	-1	-1	-1
tg:m086.0	-1	-1	-1
tg:m08h.0	-1	-1	-1
tg:m0br.0	-1	-1	-1
tg:mgfk.0	-1	-1	-1
tg:mgfp.0	-1	-1	-1
tg:mhq8.0	-1	-1	-1
tg:mjbp.0	-1	-1	-1
tg:mk3n.0	-1	-1	-1
tg:mr3k.0	-1	-1	-1
tg:msdg.0	-1	-1	-1
tg:msqv.0	-1	-1	-1
tg:mv71.0	-1	-1	-1
tg:mv7f.0	-1	-1	-1
tg:mvqk.0	-1	-1	-1
tg:mvqp.0	-1	-1	-1
tg:mvqs.0	-1	-1	-1
tg:mvr3.0	-1	-1	-1
tg:mvrf.0	-1	-1	-1
tg:mvrr.0	-1	-1	-1
tg:mvrv.0	-1	-1	-1
tg:n0xc.0	-1	-1	-1
tg:n23j.0	-1	-1	-1
tg:n2k7.0	-1	-1	-1
tg:n2kq.0	-1	-1	-1
tg:n2m1.0	-1	-1	-1
tg:n3cn.0	-1	-1	-1
tg:n3dj.0	-1	-1	-1
tg:n750.0	3	53	-1
tg:n79j.0	3	25	-1
tg:n7rr.0	-1	-1	-1
tg:n7s1.0	-1	-1	-1
tg:n7s9.0	-1	-1	-1
tg:n7sd.0	-1	-1	-1
tg:n7sh.0	-1	-1	-1
tg:ndmr.0	-1	-1	-1
tg:nds0.0	-1	-1	-1
tg:ndtw.0	-1	-1	-1
tg:nfdb.0	-1	-1	-1
tg:nfhm.0	-1	-1	-1
tg:nkbv.0	-1	-1	-1
tg:nkcq.0	-1	-1	-1
tg:nkdm.0	-1	-1	-1
tg:nkdq.0	-1	-1	-1
tg:nkdt.0	-1	-1	-1
tg:nks0.0	5	31	-1
tg:nkww.0	5	37	-1
tg:nm24.0	-1	-1	-1
tg:nm27.0	0	9	-1
tg:nm2b.0	-1	-1	-1
tg:nmf9.0	-1	-1	-1
tg:nmfg.0	-1	-1	-1
tg:nmfn.0	-1	-1	-1
tg:nmfs.0	-1	-1	-1
tg:nmfv.0	-1	-1	-1
tg:nmg0.0	-1	-1	-1
tg:nmg5.0	-1	-1	-1
tg:nmgc.0	-1	-1	-1
tg:nns8.0	-1	-1	-1
tg:np3s.0	-1	-1	-1
tg:np6j.0	-1	-1	-1
tg:npm2.0	-1	-1	-1
tg:npsg.0	-1	-1	-1
tg:ns3r.0	5	0	15
tg:ns9c.0	-1	-1	-1
tg:nsv5.0	-1	-1	-1
tg:ntqj.0	-1	-1	-1
tg:nttc.0	-1	-1	-1
tg:nv2j.0	-1	-1	-1
tg:nvk1.0	-1	-1	-1
tg:p5bz.0	-1	-1	-1
tg:p5c7.0	-1	-1	-1
tg:p5c8.0	-1	-1	-1
tg:p5cg.0	-1	-1	-1
tg:p7dk.0	-1	-1	-1
tg:p7hs.0	-1	-1	-1
tg:p7m9.0	-1	-1	-1
tg:p878.0	-1	-1	-1
tg:p87j.0	-1	-1	-1
tg:p8d8.0	-1	-1	-1
tg:p8rz.0	-1	-1	-1
tg:p8vz.0	-1	-1	-1
tg:pb0f.0	-1	-1	-1
tg:pb4c.0	-1	-1	-1
tg:pb6v.0	-1	-1	-1
tg:pgp7.0	-1	-1	-1
tg:pgph.0	-1	-1	-1
tg:pgpm.0	-1	-1	-1
tg:pj21.0	-1	-1	-1
tg:pj26.0	-1	-1	-1
tg:pj27.0	-1	-1	-1
tg:pj2h.0	-1	-1	-1
tg:pjw6.0	-1	-1	-1
tg:pk02.0	-1	-1	-1
tg:pk6x.0	-1	-1	-1
tg:pkgw.0	-1	-1	-1
tg:pkh4.0	-1	-1	-1
tg:pkhc.0	-1	-1	-1
tg:pkhg.0	-1	-1	-1
tg:pkhh.0	-1	-1	-1
tg:pkhm.0	-1	-1	-1
tg:pkhv.0	-1	-1	-1
tg:pkj1.0	-1	-1	-1
tg:pkj2.0	-1	-1	-1
tg:pkjc.0	-1	-1	-1
tg:pkjk.0	-1	-1	-1
tg:pkng.0	-1	-1	-1
tg:pksn.0	-1	-1	-1
tg:pkx0.0	-1	-1	-1
tg:pm1c.0	-1	-1	-1
tg:pm7m.0	-1	-1	-1
tg:pm99.0	-1	-1	-1
tg:pmfw.0	-1	-1	-1
tg:pmgg.0	-1	-1	-1
tg:pmj9.0	-1	-1	-1
tg:pmp3.0	-1	-1	-1
tg:pmtc.0	-1	-1	-1
tg:pn22.0	-1	-1	-1
tg:pn2n.0	-1	-1	-1
tg:psxj.0	-1	-1	-1
tg:ptkw.0	-1	-1	-1
tg:pvpw.0	-1	-1	-1
tg:pvpz.0	-1	-1	-1
tg:pvq4.0	-1	-1	-1
tg:pvq5.0	-1	-1	-1
tg:pvqc.0	-1	-1	-1
tg:pvxf.0	-1	-1	-1
tg:pvxk.0	-1	-1	-1
tg:pzj2.0	-1	-1	-1
tg:q3hr.0	-1	-1	-1
tg:q41n.0	-1	-1	-1
tg:q4j5.0	-1	-1	-1
tg:q5q1.0	-1	-1	-1
tg:qd27.0	-1	-1	-1
tg:qd2g.0	-1	-1	-1
tg:qd2n.0	-1	-1	-1
tg:qd3h.0	-1	-1	-1
tg:qd46.0	-1	-1	-1
tg:qd6w.0	-1	-1	-1
tg:qdcq.0	-1	-1	-1
tg:qdhd.0	-1	-1	-1
tg:qdj2.0	-1	-1	-1
tg:qdjz.0	-1	-1	-1
tg:qdk1.0	-1	-1	-1
tg:qdks.0	-1	-1	-1
tg:qdm5.0	-1	-1	-1
tg:qdm9.0	-1	-1	-1
tg:qdmd.0	-1	-1	-1
tg:qdmw.0	-1	-1	-1
tg:qdnz.0	-1	-1	-1
tg:qdqn.0	-1	-1	-1
tg:qfsn.0	-1	-1	-1
tg:qfx0.0	-1	-1	-1
tg:qfxf.0	-1	-1	-1
tg:qfxj.0	-1	-1	-1
tg:qggj.0	-1	-1	-1
tg:qh0j.0	-1	-1	-1
tg:qh44.0	-1	-1	-1
tg:qhpn.0	-1	-1	-1
tg:qhwd.0	-1	-1	-1
tg:qkkz.0	-1	-1	-1
tg:qkm4.0	-1	-1	-1
tg:qkm5.0	-1	-1	-1
tg:qkmh.0	-1	-1	-1
tg:qkmq.0	5	70	18
tg:qkmw.0	-1	-1	-1
tg:qkmx.0	-1	-1	-1
tg:qkn4.0	-1	-1	-1
tg:qknj.0	-1	-1	-1
tg:qkp2.0	-1	-1	-1
tg:qkp7.0	-1	-1	-1
tg:qkps.0	-1	-1	-1
tg:qkq1.0	-1	-1	-1
tg:qm9d.0	-1	-1	-1
tg:qmsf.0	-1	-1	-1
tg:qmt7.0	-1	-1	-1
tg:qn26.0	-1	-1	-1
tg:qn29.0	-1	-1	-1
tg:qn2w.0	-1	-1	-1
tg:qn30.0	-1	-1	-1
tg:qx5q.0	-1	-1	-1
tg:qxh9.0	-1	-1	-1
tg:qz9g.0	-1	-1	-1
tg:qzz7.0	-1	-1	-1
tg:r0gb.0	-1	-1	-1
tg:r0hz.0	-1	-1	-1
tg:r0jz.0	-1	-1	-1
tg:r0n2.0	0	24	-1
tg:r0px.0	-1	-1	-1
tg:r0sb.0	-1	-1	-1
tg:r0vx.0	-1	-1	-1
tg:r10b.0	-1	-1	-1
tg:r11m.0	-1	-1	-1
tg:r121.0	-1	-1	-1
tg:r12k.0	5	37	12
tg:r12n.0	-1	-1	-1
tg:r12v.0	5	21	-1
tg:r134.0	5	17	14
tg:r135.0	-1	-1	-1
tg:r13g.0	-1	-1	-1
tg:r1hd.0	-1	-1	-1
tg:r1zm.0	-1	-1	-1
tg:r22j.0	-1	-1	-1
tg:r231.0	-1	-1	-1
tg:r23w.0	-1	-1	-1
tg:r2m4.0	-1	-1	-1
tg:r2m9.0	-1	-1	-1
tg:r2mf.0	-1	-1	-1
tg:r2mm.0	0	12	-1
tg:r2mn.0	-1	-1	-1
tg:r2mv.0	-1	-1	-1
tg:r2qz.0	-1	-1	-1
tg:r2r7.0	-1	-1	-1
tg:r2rb.0	-1	-1	-1
tg:rdg3.0	-1	-1	-1
tg:rdgt.0	-1	-1	-1
tg:rdhd.0	-1	-1	-1
tg:rfbt.0	-1	-1	-1
tg:rfbx.0	-1	-1	-1
tg:rfc7.0	-1	-1	-1
tg:rfcn.0	-1	-1	-1
tg:rfct.0	-1	-1	-1
tg:rfcv.0	-1	-1	-1
tg:rfd2.0	-1	-1	-1
tg:rfd8.0	-1	-1	-1
tg:rfm5.0	-1	-1	-1
tg:rfmj.0	-1	-1	-1
tg:rfn5.0	-1	-1	-1
tg:rfx8.0	-1	-1	-1
tg:rfxf.0	5	36	10
tg:rfxg.0	-1	-1	-1
tg:rhjs.0	-1	-1	-1
tg:rhnx.0	-1	-1	-1
tg:rhqt.0	-1	-1	-1
tg:rhtz.0	5	36	18
tg:rhzq.0	-1	-1	-1
tg:rj22.0	-1	-1	-1
tg:rjdc.0	-1	-1	-1
tg:rjg0.0	-1	-1	-1
tg:rjh9.0	-1	-1	-1
tg:rjmw.0	5	44	-1
tg:rjqs.0	-1	-1	-1
tg:rjwv.0	-1	-1	-1
tg:rjzc.0	-1	-1	-1
tg:rkpt.0	-1	-1	-1
tg:rkq6.0	-1	-1	-1
tg:rksp.0	-1	-1	-1
tg:rktc.0	-1	-1	-1
tg:rkzk.0	-1	-1	-1
tg:rkzp.0	0	10	-1
tg:rm3n.0	-1	-1	-1
tg:s4hh.0	-1	-1	-1
tg:s4hw.0	-1	-1	-1
tg:s4jp.0	-1	-1	-1
tg:s4m0.0	-1	-1	-1
tg:s4m2.0	-1	-1	-1
tg:s4nb.0	-1	-1	-1
tg:s6kj.0	-1	-1	-1
tg:s6kn.0	-1	-1	-1
tg:s6m2.0	-1	-1	-1
tg:s6m6.0	-1	-1	-1
tg:s8bj.0	-1	-1	-1
tg:s8br.0	-1	-1	-1
tg:s8bv.0	-1	-1	-1
tg:s8c4.0	-1	-1	-1
tg:s8c9.0	-1	-1	-1
tg:s8cb.0	-1	-1	-1
tg:s8fd.0	-1	-1	-1
tg:s8fh.0	-1	-1	-1
tg:s9j7.0	-1	-1	-1
tg:sc8m.0	-1	-1	-1
tg:sc8q.0	-1	-1	-1
tg:scbg.0	-1	-1	-1
tg:scbm.0	-1	-1	-1
tg:sf41.0	-1	-1	-1
tg:sf49.0	-1	-1	-1
tg:sf4d.0	-1	-1	-1
tg:sj68.0	-1	-1	-1
tg:sj6f.0	-1	-1	-1
tg:sj6g.0	-1	-1	-1
tg:sj6r.0	-1	-1	-1
tg:sj6v.0	-1	-1	-1
tg:sj74.0	-1	-1	-1
tg:sjhr.0	-1	-1	-1
tg:sjpt.0	-1	-1	-1
tg:spd6.0	-1	-1	-1
tg:spgf.0	-1	-1	-1
tg:ssrb.0	-1	-1	-1
tg:ssrf.0	-1	-1	-1
tg:sssj.0	-1	-1	-1
tg:sssn.0	-1	-1	-1
tg:st5r.0	-1	-1	-1
tg:stqr.0	-1	-1	-1
tg:stqx.0	-1	-1	-1
tg:str1.0	-1	-1	-1
tg:str4.0	-1	-1	-1
tg:str5.0	-1	-1	-1
tg:str8.0	-1	-1	-1
tg:strd.0	-1	-1	-1
tg:strh.0	-1	-1	-1
tg:strp.0	-1	-1	-1
tg:strq.0	-1	-1	-1
tg:strx.0	-1	-1	-1
tg:stsd.0	-1	-1	-1
tg:stst.0	-1	-1	-1
tg:stt4.0	-1	-1	-1
tg:sttf.0	-1	-1	-1
tg:sv5m.0	-1	-1	-1
tg:svt2.0	-1	-1	-1
tg:swzc.0	-1	-1	-1
tg:swzz.0	-1	-1	-1
tg:t25v.0	-1	-1	-1
tg:t2z2.0	-1	-1	-1
tg:t337.0	-1	-1	-1
tg:t3sh.0	-1	-1	-1
tg:t4rs.0	3	28	14
tg:t4rw.0	-1	-1	-1
tg:t8tr.0	-1	-1	-1
tg:t907.0	-1	-1	-1
tg:t969.0	-1	-1	-1
tg:t96n.0	-1	-1	-1
tg:t96r.0	-1	-1	-1
tg:t96s.0	-1	-1	-1
tg:t96w.0	-1	-1	-1
tg:t971.0	-1	-1	-1
tg:t976.0	-1	-1	-1
tg:t977.0	-1	-1	-1
tg:t97f.0	-1	-1	-1
tg:t9p6.0	-1	-1	-1
tg:t9p7.0	-1	-1	-1
tg:t9ph.0	-1	-1	-1
tg:t9ps.0	-1	-1	-1
tg:t9qb.0	-1	-1	-1
tg:t9qh.0	-1	-1	-1
tg:t9qj.0	-1	-1	-1
tg:tbf2.0	-1	-1	-1
tg:tbqn.0	-1	-1	-1
tg:tc1r.0	-1	-1	-1
tg:tff9.0	-1	-1	-1
tg:tfsf.0	-1	-1	-1
tg:tftj.0	-1	-1	-1
tg:tg23.0	-1	-1	-1
tg:tg37.0	-1	-1	-1
tg:tg9f.0	-1	-1	-1
tg:tgw6.0	-1	-1	-1
tg:tgw9.0	-1	-1	-1
tg:tgwk.0	-1	-1	-1
tg:th0n.0	-1	-1	-1
tg:tn4k.0	-1	-1	-1
tg:tndf.0	-1	-1	-1
tg:tp8b.0	-1	-1	-1
tg:tp8d.0	-1	-1	-1
tg:tpd7.0	-1	-1	-1
tg:tphz.0	-1	-1	-1
tg:tpp9.0	-1	-1	-1
tg:tpq4.0	-1	-1	-1
tg:tpq5.0	-1	-1	-1
tg:tpqs.0	-1	-1	-1
tg:tpx6.0	-1	-1	-1
tg:tpxs.0	-1	-1	-1
tg:tq2b.0	-1	-1	-1
tg:trwt.0	-1	-1	-1
tg:tv5b.0	-1	-1	-1
tg:tv5k.0	-1	-1	-1
tg:tv5t.0	-1	-1	-1
tg:tv63.0	-1	-1	-1
tg:tv65.0	-1	-1	-1
tg:tv6f.0	-1	-1	-1
tg:tv6h.0	-1	-1	-1
tg:tv6t.0	-1	-1	-1
tg:tvb0.0	-1	-1	-1
tg:tvbg.0	-1	-1	-1
tg:tvbm.0	-1	-1	-1
tg:tvc5.0	-1	-1	-1
tg:tvc9.0	-1	-1	-1
tg:tvcm.0	-1	-1	-1
tg:tvdq.0	-1	-1	-1
tg:tvdx.0	-1	-1	-1
tg:tvfs.0	-1	-1	-1
tg:tvg7.0	-1	-1	-1
tg:tvgd.0	-1	-1	-1
tg:tvgg.0	-1	-1	-1
tg:tvgp.0	-1	-1	-1
tg:tvgr.0	-1	-1	-1
tg:twnw.0	-1	-1	-1
tg:twt3.0	-1	-1	-1
tg:tx4z.0	-1	-1	-1
tg:txtj.0	-1	-1	-1
tg:tz0c.0	-1	-1	-1
tg:tz39.0	5	37	11
tg:tz6r.0	-1	-1	-1
tg:tz9d.0	-1	-1	-1
tg:tzgk.0	-1	-1	-1
tg:v0d8.0	-1	-1	-1
tg:v0fv.0	-1	-1	-1
tg:v0hv.0	-1	-1	-1
tg:v0nx.0	5	63	-1
tg:v183.0	-1	-1	-1
tg:v186.0	-1	-1	-1
tg:v18g.0	-1	-1	-1
tg:v18m.0	-1	-1	-1
tg:v1sm.0	-1	-1	-1
tg:v341.0	-1	-1	-1
tg:v3mq.0	5	23	-1
tg:v3mw.0	-1	-1	-1
tg:v3mx.0	-1	-1	-1
tg:v3n4.0	-1	-1	-1
tg:v3nb.0	-1	-1	-1
tg:v3nq.0	-1	-1	-1
tg:v3q4.0	-1	-1	-1
tg:v3qp.0	-1	-1	-1
tg:v3rv.0	-1	-1	-1
tg:v3rz.0	-1	-1	-1
tg:v3s3.0	-1	-1	-1
tg:v3sh.0	-1	-1	-1
tg:v3sw.0	-1	-1	-1
tg:v3t3.0	-1	-1	-1
tg:v3t6.0	-1	-1	-1
tg:v3tw.0	-1	-1	-1
tg:v3vb.0	-1	-1	-1
tg:v3vp.0	-1	-1	-1
tg:v3vz.0	-1	-1	-1
tg:v3w3.0	-1	-1	-1
tg:v401.0	-1	-1	-1
tg:v409.0	-1	-1	-1
tg:vhgn.0	-1	-1	-1
tg:vkgr.0	-1	-1	-1
tg:vmhp.0	-1	-1	-1
tg:vmht.0	-1	-1	-1
tg:vmm5.0	-1	-1	-1
tg:vmvc.0	-1	-1	-1
tg:vmw0.0	-1	-1	-1
tg:vmw8.0	-1	-1	-1
tg:vmwh.0	-1	-1	-1
tg:vmxv.0	-1	-1	-1
tg:vn0c.0	-1	-1	-1
tg:vn0h.0	-1	-1	-1
tg:vn0r.0	-1	-1	-1
tg:vn11.0	-1	-1	-1
tg:vn1b.0	-1	-1	-1
tg:vn1q.0	-1	-1	-1
tg:vn1w.0	-1	-1	-1
tg:vn2c.0	-1	-1	-1
tg:vn2f.0	-1	-1	-1
tg:vn2s.0	-1	-1	-1
tg:vn3b.0	-1	-1	-1
tg:vn3t.0	-1	-1	-1
tg:vn3v.0	-1	-1	-1
tg:vn41.0	-1	-1	-1
tg:vn4h.0	-1	-1	-1
tg:vn4q.0	-1	-1	-1
tg:vn59.0	-1	-1	-1
tg:vn5n.0	-1	-1	-1
tg:vn60.0	-1	-1	-1
tg:vn79.0	-1	-1	-1
tg:vn7q.0	-1	-1	-1
tg:vn90.0	-1	-1	-1
tg:vnbs.0	-1	-1	-1
tg:vncw.0	-1	-1	-1
tg:vnd5.0	-1	-1	-1
tg:vndf.0	5	24	26
tg:vnf1.0	-1	-1	-1
tg:vnfd.0	-1	-1	-1
tg:vnft.0	-1	-1	-1
tg:vnfz.0	-1	-1	-1
tg:vnh9.0	-1	-1	-1
tg:vnj5.0	-1	-1	-1
tg:vnjn.0	-1	-1	-1
tg:vnkg.0	-1	-1	-1
tg:vnmx.0	-1	-1	-1
tg:vnn3.0	-1	-1	-1
tg:vpv1.0	-1	-1	-1
tg:vpv9.0	-1	-1	-1
tg:vpvd.0	-1	-1	-1
tg:vpvq.0	-1	-1	-1
tg:vpvw.0	-1	-1	-1
tg:vpvx.0	-1	-1	-1
tg:vrcn.0	-1	-1	-1
tg:vrdc.0	-1	-1	-1
tg:vrdj.0	2	45	11
tg:vrdk.0	-1	-1	-1
tg:vrds.0	-1	-1	-1
tg:w3sp.0	-1	-1	-1
tg:w3vd.0	-1	-1	-1
tg:w3vm.0	-1	-1	-1
tg:w3w0.0	-1	-1	-1
tg:w3x0.0	-1	-1	-1
tg:w3xb.0	-1	-1	-1
tg:w3xk.0	-1	-1	-1
tg:w3xp.0	-1	-1	-1
tg:w3z2.0	-1	-1	-1
tg:w3zd.0	-1	-1	-1
tg:w407.0	-1	-1	-1
tg:w40m.0	-1	-1	-1
tg:w40n.0	-1	-1	-1
tg:wbvk.0	-1	-1	-1
tg:wc0g.0	-1	-1	-1
tg:wc9p.0	-1	-1	-1
tg:wc9q.0	-1	-1	-1
tg:wcbf.0	-1	-1	-1
tg:wcj0.0	-1	-1	-1
tg:wd1q.0	-1	-1	-1
tg:wd6t.0	-1	-1	-1
tg:wdfd.0	-1	-1	-1
tg:wdq6.0	-1	-1	-1
tg:wdvq.0	-1	-1	-1
tg:wf5v.0	-1	-1	-1
tg:wf6k.0	-1	-1	-1
tg:wfsd.0	-1	-1	-1
tg:wp6p.0	-1	-1	-1
tg:wpvj.0	-1	-1	-1
tg:wz0s.0	-1	-1	-1
tg:wz12.0	-1	-1	-1
tg:wzgs.0	-1	-1	-1
tg:wznj.0	6	0	-1
tg:wznq.0	-1	-1	-1
tg:wznr.0	-1	-1	-1
tg:wzp1.0	-1	-1	-1
tg:wzp6.0	-1	-1	-1
tg:wzp9.0	-1	-1	-1
tg:wzpd.0	-1	-1	-1
tg:wzph.0	-1	-1	-1
tg:wzpp.0	-1	-1	-1
tg:wzps.0	-1	-1	-1
tg:wzpz.0	-1	-1	-1
tg:wzq0.0	-1	-1	-1
tg:wzq9.0	-1	-1	-1
tg:x22s.0	-1	-1	-1
tg:x34j.0	-1	-1	-1
tg:x37n.0	-1	-1	-1
tg:x37q.0	-1	-1	-1
tg:x390.0	-1	-1	-1
tg:x39r.0	-1	-1	-1
tg:x3b4.0	-1	-1	-1
tg:x3bf.0	-1	-1	-1
tg:x3bs.0	-1	-1	-1
tg:x3cm.0	-1	-1	-1
tg:x3cv.0	-1	-1	-1
tg:x3d6.0	-1	-1	-1
tg:x3f6.0	-1	-1	-1
tg:x3zz.0	-1	-1	-1
tg:x400.0	-1	-1	-1
tg:x438.0	-1	-1	-1
tg:x480.0	-1	-1	-1
tg:x48t.0	-1	-1	-1
tg:x495.0	-1	-1	-1
tg:x4c3.0	-1	-1	-1
tg:x4gj.0	-1	-1	-1
tg:x4q9.0	-1	-1	-1
tg:x4vf.0	-1	-1	-1
tg:x4vh.0	-1	-1	-1
tg:x4vp.0	-1	-1	-1
tg:x4vq.0	-1	-1	-1
tg:x4vx.0	-1	-1	-1
tg:x5bv.0	-1	-1	-1
tg:x82c.0	-1	-1	-1
tg:x8bm.0	-1	-1	-1
tg:x8br.0	-1	-1	-1
tg:x8cd.0	-1	-1	-1
tg:x8cf.0	-1	-1	-1
tg:x8fs.0	-1	-1	-1
tg:x8hc.0	-1	-1	-1
tg:x8ks.0	-1	-1	-1
tg:x8mr.0	-1	-1	-1
tg:x8mw.0	-1	-1	-1
tg:x8nh.0	-1	-1	-1
tg:x8np.0	-1	-1	-1
tg:x8nq.0	-1	-1	-1
tg:x90m.0	-1	-1	-1
tg:x90s.0	-1	-1	-1
tg:x90t.0	-1	-1	-1
tg:x9jv.0	-1	-1	-1
tg:x9rp.0	-1	-1	-1
tg:xknr.0	-1	-1	-1
